episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692ea670dbc4294a49cc7272,6871e269bc1991b1a1e463ba,keep,-0.4441,,incomplete,41,180,182,0.7680,,,,0.3042,-0.0457,-0.2163,0.0000,2.9373
692eb1333b319da763b71c14,6903686e0e94ce070afd1f24,keep,-0.4443,,,0,116,118,0.9915,,,,0.7409,0.7144,-0.3313,0.6606,0.5976
692ef771fbcce321dca74f19,69150bf42756853dcad943f2,keep,-0.4443,,jittery,0,169,171,0.9941,,,,0.4876,1.4560,0.3510,0.0000,-0.1559
692eab67567c97525f401550,690362600e94ce070afd1d30,keep,-0.4447,,hesitant,0,325,338,0.9644,,,,-0.0326,0.7720,0.2059,1.0790,0.7192
692eacc44e7eab2cafd26a2a,6903686e0e94ce070afd1f24,keep,-0.4455,,jittery,0,104,106,0.9905,,,,0.3480,1.4520,0.2596,0.0000,0.1591
692ea695727c13b350cb7c8b,69070e0b9adc5c8f26f55b5a,keep,-0.4459,,jittery,0,145,151,0.9667,,,,0.1930,1.4772,0.1176,0.4743,0.0239
692ed3f9f2e4e72c033b9975,6871e269bc1991b1a1e463ba,keep,-0.4459,,hesitant,0,232,234,0.9957,,,,-0.4209,0.8562,0.1720,1.3869,0.9092
692eb3025aae241ad236ee81,6846f7cf9cdf020d4a37a294,keep,-0.4461,,poor_image,0,197,199,0.9949,,,,1.3149,0.6247,0.6229,0.7037,-1.1136
692ef6040ba268eb16564b12,6903bd580e94ce070afd33cd,keep,-0.4463,,jittery,0,228,231,0.9913,,,,0.4837,1.3172,-0.0362,0.5368,-0.0781
692eaaae2c8fefa9948e8ea0,68bc72d1fcdaacc405e3db53,keep,-0.4463,,unsteady_camera,5,165,177,0.9091,,,,0.8445,0.1133,1.5478,0.0096,0.1302
692ea6d91e78e176ba6cf8ec,69070e0b9adc5c8f26f55b5a,keep,-0.4464,,,0,170,172,0.9942,,,,0.7820,0.8953,0.1267,0.4160,0.0664
692ea9f35aae241ad236edc8,6903b590466be157ec64580a,keep,-0.4466,,poor_image,0,203,205,0.9951,,,,1.6962,0.2976,0.3400,-0.0125,-0.1922
692eaae0c609aae267b279b2,69070e0b9adc5c8f26f55b5a,keep,-0.4472,,poor_image,0,90,92,0.9890,0.1188,1,0.8696,3.2493,-1.1818,-0.2488,0.0000,-0.2009
692ef4e74215b056bf36e89f,69150bf42756853dcad943f2,keep,-0.4474,,,0,106,108,0.9907,,,,0.7452,0.2397,0.6613,0.8230,0.1702
692ef186fbcce321dca74ea7,690cb8f69adc5c8f26f64201,keep,-0.4475,,,8,220,223,0.9550,,,,0.2904,0.5123,0.6310,0.8427,0.4544
